Russian,English
и;and;though
в;in;at
не;not
будто;as if, as though
никогда;never
товарищ;comrade, friend
дорога;road, way, journey
однако;however, though
лежать;to lie, be situated
именно;namely, just
окно;window, windowsill
никакой;no, none
найти;to find, discover, consider
писать;to write
комната;a room
Москва;Moscow
часть;part, share, department
вообще;in general, altogether, on the whole
книга;a book
маленький;small, little
улица;"street; masterrussian, dot com"
решить;to decide, solve
далекий;distant, remote
душа;soul, spirit
чуть;hardly, slightly
вернуться;to return
утро;morning
некоторый;some
считать;to count, consider
сколько;how much, how many
помнить;to remember
вечер;evening
пол;"floor; sex"
таки;after all
получить;to receive, get, obtain
народ;people, nation
плечо;shoulder, upper arm
хоть;even, if you want, though
сегодня;today
бог;god
вместе;together
взгляд;"look, glance; view"
ходить;to go, walk
зачем;what for, why
советский;Soviet
русский;Russian
бывать;be, visit, happen
полный;full, complete
прийти;to come, arrive (see #464)
палец;finger, toe
Россия;Russia
любой;any, every
история;history, story, event
наконец;at last, finally
мысль;thought, idea
узнать;to know, learn, recognize
назад;back, backwards
общий;general, common
заметить;to notice, observe
словно;as if, like
прошлый;past
уйти;to leave, go away
известный;well-known, famous
давно;long ago
слышать;to hear
слушать;to listen, hear
бояться;to be afraid, fear
сын;son
нельзя;it is impossible, can't
прямо;straight, frankly
долго;for a long time
быстро;fast, quickly
лес;forest
похожий;similar, alike
пора;"time; pore (see #1000)"
пять;five
глядеть;to look, gaze
оно;it
сесть;to sit
имя;name
ж;and, as for, but (see #27)
разговор;talk, conversation
тело;body
молодой;"young (see #679); bridegroom (as a noun)"
стена;wall
красный;red
читать;to read
право;right
старик;old man
ранний;early
хотеться;want, like
мама;mummy, mum
оставаться;to remain, stay (see #173)
высокий;tall, high
путь;way, track, path
поэтому;therefore
совершенно;absolutely, quite
кроме;except, besides
тысяча;a thousand
месяц;month
брать;"to take; hire"
написать;to write
целый;intact, whole, entire
огромный;huge, enormous
начинать;to begin (see #413)
спина;back
настоящий;"present;real, true"
пусть;let's, though
язык;tongue, language
точно;exactly
среди;among
чувствовать;to feel
сердце;heart
вести;to lead
иногда;sometimes
мальчик;boy
успеть;to be in time, be successful
небо;sky
живой;living, live, lively
смерть;death
продолжать;to continue
девушка;girl, miss (see #524)
образ;shape, form, image
ко;to, towards, by (see #19)
забыть;to forget
вокруг;around
письмо;letter
власть;power
чёрный;black (see #456)
пройти;to pass, go by, be over (see #543)
появиться;to appear, show up (see #699)
воздух;air
разный;different
выходить;"to go out; nurse (see #176)"
просить;to ask
брат;brother
собственный;"one's own; masterrussian, dot com"
отношение;relationship, attitude
затем;then, after that
пытаться;to try
показать;to show, display
вспомнить;to remember, recall
система;system
четыре;four
квартира;flat, apartment
держать;to hold, keep
также;also, as well, too
любовь;love
солдат;soldier
откуда;where… from
чтоб;that, in order that, (See #74)
называть;to call, name, (See #597)
третий;third
хозяин;master, boss, host
вроде;like, not unlike
уходить;to leave, go away
подойти;to approach, come up(See #798)
поднять;to lift, raise
особенно;especially, particularly
спрашивать;to ask, inquire
начальник;chief, head, superior
оба;both
бросить;to throw
школа;school
парень;boy, fellow, guy
кровь;blood
двадцать;twenty
солнце;sun
неделя;week
послать;to send, dispatch
находиться;to be found, turn up
ребята;guys, children
поставить;to put, place, set
встать;to get up, rise, stand up
например;for example, for instance
шаг;step
мужчина;man, male
равно;alike, in like manner
нос;nose
мало;little, few, (See #630)
внимание;attention
капитан;captain, master
ухо;ear
туда;there
сюда;here
играть;to play
следовать;to follow, come next
рассказать;to tell, narrate(See #403)
великий;great
действительно;indeed, really
слишком;too, too much
тяжёлый;heavy
спать;to sleep
оставить;to leave, abandon
войти;to enter, come in
длинный;long
чувство;feeling
молчать;to keep silence
рассказывать;to tell, narrate, (See #392)
отвечать;to answer, reply, (See #190)
становиться;"to stand; to become"
остановиться;to stop
берег;bank, shore, coast
семья;family
искать;to search
генерал;general
момент;moment, instant
десять;ten
начать;to begin(See #309)
следующий;next, following
личный;personal
труд;labour, work
верить;"to believe; masterrussian, dot com"
группа;group
немного;a little
впрочем;however, though
видно;evidently, obviously
являться;to appear
муж;husband
разве;really?, perhaps
движение;movement
порядок;order
ответ;answer, reply
тихо;quietly, softly, slowly
знакомый;familiar, acquainted
газета;newspaper
помощь;help
сильный;strong, powerful
скорый;quick, fast
собака;dog
дерево;tree
снег;snow
сон;dream
смысл;sense, meaning, purpose
смочь;to be able
против;against, opposite, contrary to
бежать;to run, hurry
двор;yard, court
форма;form, shape, uniform
простой;simple, easy, plain
приехать;to arrive, come
иной;different, other
кричать;to cry, shout(See #656)
возможность;possibility, opportunity, chance
общество;society
зеленый;green
грудь;breast, chest
угол;corner, angle
открыть;to open
происходить;to happen, occur, take place
ладно;in harmony, well, all right
черный;"black (as in ""she wears black"")(See #333)"
век;century, age
карман;pocket
ехать;to go, ride, drive, travel
немец;German
наверное;probably, most likely(See #972)
губа;lip
дядя;uncle
приходить;to come, arrive(See #253)
часто;often
домой;"home(as in ""she came home"")"
огонь;fire
писатель;writer
армия;army
состояние;"state, condition; fortune"
зуб;tooth
очередь;line, queue, turn
кой;"which (old-fashioned, literary); mostly found in set expressions: ни в ко́ем слу́чае, ни ко́им о́бразом, в кои ве́ки, на кой чёрт?"
подняться;to rise, climb
камень;stone
гость;guest
показаться;to appear, come in sight
ветер;wind
собираться;"to gather together, assemble; intend(See #981)"
попасть;"to hit; to find oneself"
принять;to take, admit, accept(See #643)
сначала;at first, from the beginning
либо;or
поехать;to depart, set off
услышать;to hear
уметь;to be able, know, can
случиться;to happen
странный;strange
единственный;only, sole
рота;company (military)
закон;law, act, statue
короткий;short
море;sea
добрый;kind
темный;dark
гора;mountain, hill
врач;physician, doctor
край;"border, edge; land, country"
стараться;to try, endeavour
лучший;better, best
река;river
военный;military
мера;measure, step
страшный;terrible, frightful
вполне;quite, fully
звать;to call
произойти;to happen, occur, take place
вперед;forward
медленно;slowly
возле;by, near, close by
никак;in now way, by no means
заниматься;to be occupied, engage
действие;action, effect
довольно;"enough; rather"
вещь;thing
необходимый;necessary
ход;move
боль;pain
судьба;fate, fortune, destiny
причина;cause, reason, motive
положить;to lay down, put down, place
едва;hardly, just, barely
черта;"line, boundary; trait"
девочка;girl, little girl(See #326)
лёгкий;light, easy
волос;hair
купить;to buy, purchase
номер;number, size, room, issue
основной;main
широкий;wide
умереть;to die
далеко;far, far off
плохо;badly
глава;head, chief
красивый;"beautiful; masterrussian, dot com"
серый;"grey; dull"
пить;to drink
командир;commander, commanding officer
обычно;usually
партия;party
проблема;problem, issue
страх;fear
проходить;"to pass, go;study(See #334)"
ясно;clear, clearly
снять;"to take away, take off;photograph"
бумага;paper
герой;hero
пара;pair, couple
государство;State
деревня;village, country
речь;speech
начаться;to begin
средство;means, remedy
положение;position, posture, condition, state
связь;"tie, bond; connection, relation"
скоро;quickly, fast, soon
небольшой;small, not great
представлять;to present, introduce, imagine(See #586)
завтра;tomorrow
объяснить;to explain
пустой;"empty, hollow; idle"
произнести;to pronounce, say, utter
человеческий;human
нравиться;to please, like
однажды;once, one day
мимо;past, by
иначе;otherwise, differentlyl
существовать;to exist, to be
класс;class
удаться;turn out well, succeed, manage
толстый;thick, heavy, fat
цель;goal, object, target
сквозь;through
прийтись;"to fit, fall; have to"
чистый;clean, pure
знать;to know(See #51)
прежний;former
профессор;professor
господин;gentleman, Mr.
счастье;happiness, luck
худой;"thin, skinny; masterrussian.com"
дух;spirit
план;plan
чужой;"somebody else's;strange, foreign"
зал;hall
представить;to presetn, produce, introduce(See #558)
особый;special
директор;director, manager
бывший;former, ex-
память;memory
близкий;"near, similar; intimate"
сей;this
результат;result, outcome
больной;sick
данный;given, present
кстати;to the point, at the same time
назвать;to call, name(See #356)
след;track, footprint
улыбаться;to smile(See #605)
бутылка;bottle
трудно;with difficulty
условие;condition, term
прежде;before
ум;mind, brains, intellect
улыбнуться;to smile(See #599)
процесс;process
картина;picture, painting
вместо;instead
старший;elder, senior
легко;easily, lightly
центр;center
подобный;similar, like
возможно;"as… as possible(as in ""as soon as possible"")"
около;by, near
смеяться;to laugh
сто;hundred
будущее;future
хватать;"to snatch, seize; be sufficient(See #636)"
число;number
всякое;any, every
рубль;ruble
почувствовать;to feel
принести;"to bring; masterrussian"
вера;faith, belief
вовсе;"quiet; not … at all"
удар;blow, stroke
телефон;telephone
колено;knee
согласиться;to agree, consent
мало;little, few, not enough(See #384)
коридор;corridor, passage
мужик;muzhik, man
правый;right
автор;author
холодный;cold, cool
хватить;to snatch, seize, suffice(See #618)
многие;many
встреча;meeting, reception
кабинет;study, room, office suite
документ;document
самолет;aircraft, aeroplane
вниз;down, downwards
принимать;to take, admit, accept (See #481)
игра;game, play
рассказ;story
хлеб;bread
развитие;development
убить;to kill
родной;own, native, dear
открытый;open
менее;less
предложить;to offer, propose, suggest
желтый;yellow
приходиться;"to fit, fall; have to"
выпить;to drink
крикнуть;to cry, shout(See #447)
трубка;tube, roll, pipe
враг;enemy
показывать;to show, display
двое;two
доктор;doctor
ладонь;palm
вызвать;to call, send(See #821)
спокойно;quietly
попросить;to ask
наука;science
лейтенант;lieutenant
служба;service, work
оказываться;to turn out, find oneself(See #183)
привести;to bring
сорок;forty
счет;bill, account
возвращаться;to return
золотой;golden
местный;local
кухня;kitchen
крупный;large, big, prominent
решение;decision, conclusion
молодая;"bride (See #288); young (as an adjective)"
тридцать;thirty
роман;novel, romance
требовать;to demand
компания;company
частый;frequent
российский;Russian
рабочий;working
потерять;to lose
течение;current
синий;dark blue
столько;so much, so many
теплый;warm
метр;meter, metre
достать;"to reach; get, obtain"
железный;ferreous, iron
институт;institute
сообщить;to report, let know
интерес;interes
обычный;usual, ordinary
появляться;to appear, show up(See #335)
упасть;to fall
остальной;remaining, the rest of
половина;half
московский;Moscow
шесть;six
получиться;to come, arrive, turn out
качество;quality
бой;battle, fight, combat
шея;neck
вон;out
идея;idea
видимо;apparently, seemingly
достаточно;enough, sufficiently
провести;"to accompany, set off; conduct; spend (See #973)"
важный;important
трава;grass
дед;grandfather, old man
сознание;consciousness
родитель;"parent; masterrussian, dot, com"
простить;to forgive
бить;to beat, hit
чай;tea
поздний;late
кивнуть;to nod
род;family, clan, generation
исчезнуть;to disappear
тонкий;thin
немецкий;German
звук;sound
отдать;to return, give back
магазин;shop, store
президент;"president; director"
поэт;poet
спасибо;gratitude, thanks
болезнь;illness, sickness, disease
событие;event
помочь;to help (See #857)
кожа;skin
лист;leaf, sheet
слать;to send
вспоминать;to remember, recall
прекрасный;beautiful, fine
слеза;tear
надежда;hope
молча;silently, without a word
сильно;strongly
верный;"correct; faithful; reliable"
литература;literature
оружие;weapon
готовый;ready
запах;smell, odour, scent
неожиданно;unexpectedly, suddenly
вчера;yesterday
вздохнуть;to take breath, to sigh
роль;role
рост;"growth, increase; height"
природа;nature
политический;political
точка;dot, point
звезда;star
петь;to sing
садиться;to sit down
фамилия;surname
характер;character, disposition, temper
пожалуйста;please
выше;higher
офицер;officer
толпа;crowd
перестать;to stop, cease
придтись;"to fit, fall; have to"
уровень;level
неизвестный;unknown
кресло;armchair
баба;woman, wife, old woman, (See #911)
секунда;a second
пожаловать;to grant, bestow
банк;bank
опыт;experience
тихий;quiet, low, scelent
поскольку;so far as, since
сапог;(high) boot
правило;rule
стекло;glass
получать;to receive, get (See #239)
внутренний;inside, internal
дочь;daughter
называться;to call oneself
надеяться;to hope
член;member, limb
протянуть;to stretch, extend
государственный;State
десяток;ten, dozens
глубокий;deep
цветок;flower
ах;ah!, oh!
желание;wish
дождь;rain
впереди;before, in front of
подходить;"to come up, approach;to fit(See #361)"
много;many, much, a lot of(See #187)
лоб;forehead
улыбка;smile
борьба;fight, struggle
ворот;collar
ящик;box, case
этаж;floor, storey
служить;to serve
вновь;again, once more
голубой;blue, sky-blue
нечего;there is nothing, there is no need
революция;revolution
впервые;for the first time
сосед;neighbour
сестра;sister
долгий;long
чей;whose
поверить;to believe
ситуация;situation
взглянуть;to look, give a glance
слабый;weak
количество;quantity
вызывать (See #663);to call, send
уверенный;confident, sure
выход;exit
совет;"advice; masterrussian, dot com"
дурак;fool, idiot
любимый;dear, loved
союз;"union, alliance; conjunction"
лето;summer
ожидать;to expect
пришлый;alien, strange
висеть;to hang
граница;border
цвет;colour, color
серьезный;serious
создать;to create, establish
интересно;interestingly
свобода;freedom
зато;but, but then
стул;chair
уехать;to leave, depart
поезд;train
музыка;music
быстрый;quick, fast
тень;shadow
лошадь;horse
поле;field
выглядеть;to look
учиться;to study, learn
левый;left
разговаривать;to talk, speak
детский;child's, children's
тип;type, model
суд;court, law-court
связанный;related, connected, tied-up
горячий;hot
площадь;square, area
помогать;to help, assist(See #736)
счастливый;happy
повернуться;to turn
позволить;to allow, permit
встретить;to meet
радость;gladness, joy
острый;"sharp; spicy"
возраст;age
орган;organ, body
карта;map
входить;to enter, come in
обнаружить;to discover, find out
король;king
слава;glory, fame
полковник;colonel
мелкий;shallow, small
бок;side, flank
цена;price
информация;information
мозг;brain
удовольствие;pleasure
воля;will
область;"oblast, province; field"
крыша;roof
нести;to carry
обратно;back, backwards
современный;contemporary, modern, up-to-date
дама;lady, partner, queen
семь;seven
веселый;cheerful, merry
прислать;to send
сад;garden, yard
правительство;government
милый;nice, sweet, dear
относиться;to treat, regard, relate
возникать;to arise, appear(See #951)
мол;he says, they say, etc.
повторить;to repeat
название;name, title
средний;average, middle
пример;example
невозможно;impossible
зеркало;mirror
погибнуть;to perish, be killed
американский;American
дым;smoke
гореть;to burn
плакать;to cry
весьма;very, highly, greatly
факт;fact
двигаться;to move
рыба;fish
добавить;to add
удивиться;to wonder, be surprised
бабушка;grandmother(See #773)
вино;wine
ибо;for
учитель;teacher, instructor
действовать;to act
осторожно;carefully, cautiously
круг;"circle; masterrussian, dot com"
папа;dad, daddy(See #165)
правильно;correctly, properly
недавно;recently, lately
держаться;to hold on, behave
причем;moreover, and what's more
лететь;to fly
носить;to wear
повод;"occasion, reason; bridle"
лагерь;camp
птица;bird
корабль;ship
мнение;opinion
ночной;night
здоровый;healthy
зима;winter
сухой;dry
километр;kilometre, kilometer
кровать;bed
привыкнуть;to get used to, to grow accustomed to
прочее;et cetera, other
свободный;free
лестница;staircase
неужели;really, surely
обязательно;without fail, be sure
вверх;up, upwards
детство;childhood
остров;island
статья;article
позвонить;to call, to telephone
столь;so
мешать;"to interfere, prevent; mix"
водка;vodka
темнота;darkness
возникнуть;to arise, spring up(See #892)
способный;capable (of)
станция;station
желать;to wish
попробовать;to try, test
получаться;to come out
гражданин;citizen
странно;strangely
вскоре;soon, shortly
интересный;interesting
команда;"team; command"
заболевание;disease, illness
живот;stomach, belly
ставить;to put, place, set
ради;for the sake of
тишина;silence, stillness
понятно;clearly, plainly
фронт;front
щека;cheek
страшно;terribly, awfully
район;area, region
наверно;probably(See #461)
проводить;"to lead, escort; accompany(See #713)"
выражение;expression
слегка;slightly
мешок;bag, sack
обещать;to promise
дорогой;on the way
судить;to judge, try
большинство;majority
собраться;to gather, collect(See #479)
управление;operation, control
колоть;to prick
мокрый;wet
приказ;order
прямой;straight
закричать;to shout, cry out
кончиться;to end
куст;bush
стрелять;to shoot
художник;painter, artist
знак;sign
завод;factory
кулак;fist
использовать;to use, utilize, make use of
стакан;glass
пахнуть;to smell
отсюда;from here
рот;mouth
пора;"it's time;at times, now and then(See #279)"
