tête;head;
quelle;what;
sait;know;
sommes;are;
appelle;call;
quelques;a few;
faites;make;
partir;go;
vite;quickly;
arrête;stopped;
seule;alone;
serait;would be;
voiture;car;
enfants;children;
tuer;kill;
merde;Fuck;
hé;Hey;
pendant;while;
idée;idea;
chance;luck;
parle;speak;
aurait;would have;
part;go;
elles;they;
jours;days;
grand;tall;
aujourd'hui;today;
venir;come;
ami;friend;
demain;tomorrow;
hein;huh;
tard;late;
puis;then;
truc;thing;
passer;pass;
petite;small;
tant;so;
connais;know;
combien;how much;
mec;guy;
sens;meaning;
pouvez;can;
porte;door;
sortir;go out;
super;Great;
heure;hour;
contre;against;
coup;stroke;
comprends;understand;
entendu;heard;
vient;just;
allons;let's go;
ensemble;together;
nouveau;new;
amour;love;
importe;imported;
sang;blood;
désolée;sorry;
cas;case;
sous;under;
rester;stay;
amis;friends;
prends;take;
fini;finished;
hommes;men;
tué;kill;
question;question;
partie;part;
histoire;history;
devrais;should;
aide;help;
dernière;latest;
demande;request;
chercher;search;
pensais;thought;
genre;kind;
seulement;only;
police;police;
car;because;
mois;month;
frère;brother;
laisser;let;
aucun;no;
mettre;to put;
eux;them;
laisse;leash;
chaque;each;
ville;city;
arrivé;come;
devrait;should;
parlé;speak;
avez-vous;have you got;
vont;will;
longtemps;long time;
aucune;any;
heures;hours;
bébé;baby;
place;square;
revoir;see again;
putain;whore;
compris;including;
ni;or;
savais;knew;
leurs;their;
étaient;were;
attention;Warning;
donner;give;
affaire;case;
endroit;in law;
pourrais;could;
corps;body;
façon;way;
donné;given;
est-il;is it;
voici;here is;
train;train;
dont;whose;
écoute;listen;
yeux;eyes;
trouve;find;
pouvoir;power;
type;type;
perdu;lost;
premier;first;
première;first;
côté;side;
point;point;
tellement;so much;
main;hand;
tiens;here;
sois;be;
enfant;child;
vieux;old;
matin;morning;
venu;came;
pardon;sorry;
là-bas;over there;
suite;after;
vers;towards;
minutes;minutes;
demandé;request;
venez;come;
devant;in front of;
dr;dr;
enfin;finally;
arrêter;Stop;
cause;cause;
nouvelle;new;
attendez;Wait;
chambre;bedroom;
droit;law;
parti;left;
mis;placed;
eau;water;
compte;account;
dirait;would say;
terre;Earth;
belle;beautiful;
espère;hope;
aimerais;would like to;
loin;far;
as-tu;did you;
mari;husband;
donne;given;
fin;end;
croire;believe;
mme;Mrs;
aura;will have;
gros;large;
boulot;job;
plutôt;rather;
chérie;sweetheart;
prêt;ready;
filles;girls;
bureau;office;
mourir;die;
hier;yesterday;
possible;possible;
jouer;to play;
demander;request;
celui;the one;
voulait;wanted to;
beau;beautiful;
jeune;young;
euh;uh;
dehors;outside;
docteur;doctor;
a-t-il;does he have;
confiance;trust;
appeler;call;
années;years;
vérité;truth;
école;school;
chef;chief;
femmes;women;
propos;about;
semaine;week;
vivre;live;
regardez;look;
feu;fire;
journée;day;
madame;Mrs;
hey;hey;
téléphone;phone;
près;near;
affaires;business;
meilleur;better;
devez;must;
dessus;above;
mains;hands;
penses;think;
prie;pray;
équipe;team;
vas-y;go ahead;
grande;big;
manger;eat;
arriver;arrive;
dur;hard;
guerre;war;
ait;has;
appelé;called;
marche;market;
sécurité;security;
garçon;boy;
essaie;try;
important;important;
dites;say;
exactement;exactly;
font;make;
fort;strong;
presque;almost;
plein;full;
derrière;behind;
ben;ben;
mariage;wedding;
parents;parents;
capitaine;captain;
dernier;latest;
fou;crazy;
ceux;those;
tomber;fall;
attendre;expect;
vue;view;
pensé;thought;
souviens;remember;
envie;desire;
fête;Party;
jeu;Game;
génial;awesome;
pays;country;
garde;keep;
cours;Classes;
bientôt;soon;
ii;ii;
numéro;number;
personnes;people;
cinq;five;
parfait;perfect;
excusez-moi;excuse me;
laissé;leash;
ainsi;so;
retour;return;
semble;seems;
autant;as much;
peine;trouble;
minute;minute;
essayé;tried;
plan;plan;
instant;moment;
serai;will;
prison;jail;
penser;think;
essayer;try;
prend;take;
arme;armed;
mauvais;bad;
mot;word;
travailler;to work;
quatre;four;
rentrer;return;
regarder;watch;
choix;choice;
êtes-vous;are you;
parfois;sometimes;
film;movie;
abord;on board;
voyez;see;
faute;fault;
facile;easy;
croyais;thought;
bas;low;
changer;switch;
entendre;hear;
plaisir;pleasure;
heureux;happy;
entrer;enter;
voudrais;would like;
es-tu;are you;
propre;clean;
étiez;were;
tour;tower;
fera;will;
ensuite;then;
garder;keep;
agent;agent;
allait;was going to;
lit;bed;
travaille;work;
adore;love;
amie;friend;
rendre;return;
allons-y;let's go;
route;road;
lieu;location;
année;year;
voit;sees;
commence;start;
service;service;
devoir;duty;
attend;waits;
drôle;funny;
difficile;difficult;
sûre;safe;
pire;worst;
pos;pos;
peuvent;can;
sujet;subject;
état;state;
ceci;this;
impossible;impossible;
sorte;kind;
perdre;to lose;
dollars;dollars;
voulu;desired;
morte;dead woman;
ira;will;
faisait;was;
bizarre;weird;
oublié;forget it;
arrêtez;stop;
ferai;will;
serais;would;
tôt;early;
inquiète;worry;
payer;pay;
coeur;heart;
dès;from;
pouvais;could;
reviens;come back;
chien;dog;
suffit;enough;
prenez;take;
pensez;think;
café;Coffee;
calme;calm;
cherche;looking;
montrer;to show;
parles;talk;
photo;Photo;
ferme;closed;
problèmes;problems;
the;tea;
cœur;heart;
sûrement;surely;
verre;glass;
aimes;love;
devons;must;
veulent;want;
doute;doubt;
musique;music;
courant;current;
sauf;except;
moyen;way;
nouvelles;new;
puis-je;can I;
avis;view;
sauver;to save;
hôpital;hospital;
questions;Questions;
meurtre;murder;
sérieux;serious;
seconde;second;
trucs;stuff;
comprendre;understand;
allais;going;
esprit;mind;
cool;cool;
mlle;Ms;
marché;market;
fous;crazy;
laisse-moi;leave me;
haut;high;
salle;room;
malade;sick;
changé;exchange;
gentil;kind;
allé;go;
six;six;
simple;simple;
john;john;
semaines;weeks;
celle;that;
jack;jack;
appris;learned;
seigneur;Lord;
dîner;having dinner;
sors;go outside;
commencé;start;
suppose;Assumed;
chemin;path;
partout;all over;
bras;arms;
cul;ass;
prochaine;next;
visage;face;
h;h;
meilleure;best;
face;face;
soirée;evening;
roi;King;
surtout;mostly;
retard;delay;
écrit;written;
livre;delivered;
rapport;report;
chéri;Darling;
message;message;
voulez-vous;Do you want to;
vaut;worth;
ferais;would;
morts;dead;
boire;to drink;
soyez;are;
président;President;
plait;please;
bois;wood;
sinon;if not;
erreur;mistake;
new;new;
ecoute;listen;
mr;mr;
rentre;returns;
rendez-vous;Appointment;
devait;was;
revenir;return;
joue;play;
pauvre;poor;
devenir;to become;
s;s;
rencontrer;meet;
sort;fate;
commencer;to start;
pouvait;could;
occupe;busy;
entends;hear;
souvent;often;
pièce;room;
reçu;received;
grave;serious;
mets;dish;
intérieur;inside;
honneur;honor;
dormir;to sleep;
an;year;
faux;false;
messieurs;gentlemen;
groupe;group;
rêve;dream;
carte;menu;
aviez;had;
appel;call;
manque;lack;
envoyé;sent;
début;beginning;
sam;sat;
puisse;can;
écoutez;Listen;
laissez-moi;let me;
bonsoir;Good evening;
content;happy;
secret;secret;
venue;arrival;
cher;expensive;
dis-moi;tell me;
effet;effect;
voyons;see;
sac;bag;
continue;keep on going;
acheter;buy;
voix;voice;
certains;some;
occuper;to occupy;
noël;Christmas;
gagner;to win;
grâce;grace;
maître;master;
prix;price;
mauvaise;bad;
général;general;
âge;age;
long;long;
rue;street;
tirer;shoot;
apprendre;learn;
cheveux;hair;
noir;black;
promis;promised;
avaient;had;
patron;boss;
avocat;lawyer;
force;strength;
accident;accident;
dix;ten;
probablement;probably;
laissez;leave;
bout;end;
ordre;order;
armes;arms;
cru;vintage;
déteste;hated;
retrouver;find;
millions;million;
incroyable;unbelievable;
voyage;trip;
ailleurs;elsewhere;
oublie;forget it;
ressemble;looks like;
bienvenue;welcome;
disparu;faded away;
protéger;protect;
utiliser;use;
situation;situation;
petits;small;
aurai;have;
veux-tu;do you want;
connaissez;know;
simplement;simply;
scène;scene;
sœur;sister;
prête;ready;
oncle;uncle;
devriez;should;
liste;listing;
soeur;sister;
complètement;completely;
dos;back;
armée;army;
paix;peace;
battre;beat;
york;york;
crime;crime;
anniversaire;anniversary;
finir;finish;
réussi;success;
agit;is;
i;i;
retourner;return;
sale;dirty;
libre;free;
bouge;moves;
contrôle;control;
rappelle;remember;
arrêté;stopped;
hôtel;hotel;
idiot;idiot;
okay;okay;
rencontré;meet;
restez;stay;
absolument;absolutely;
mots;words;
victime;victim;
impression;impression;
décidé;decided;
sympa;friendly;
pars;leave;
fasse;make;
avion;plane;
bordel;whorehouse;
habitude;habit;
table;table;
rouge;red;
système;system;
photos;Pictures;
médecin;doctor;
seras;shalt;
bateau;boat;
stupide;stupid;
faim;hunger;
autour;around;
fond;background;
surprise;surprise;
croyez;believe;
devais;had;
ligne;line;
porter;carry;
imagine;conceived;
colère;anger;
clair;clear;
seront;will;
savait;knew;
balle;ball;
gagné;won;
or;gold;
hors;except;
magnifique;magnificent;
risque;risk;
terminé;finished;
su;knew;
heureuse;happy;
mission;mission;
jolie;pretty one;
parlez;speak;
présent;present;
sorti;got out;
cadeau;gift;
expliquer;explain;
volé;Fly;
plusieurs;many;
gauche;left;
ferait;would do;
neuf;new;
passe-t-il;going there;
ouvre;opens;
disais;said;
dedans;in;
disent;say;
pouvons;can;
allez-y;Go for it;
suivre;to follow;
pourra;will;
inspecteur;inspector;
réponse;reply;
lumière;light;
pieds;feet;
pote;mate;
montre;watch;
pied;foot;
marcher;walk;
charlie;charlie;
auras;get;
envoyer;to send;
vraie;real;
espèce;species;
doivent;have to;
allô;Hello;
pareil;the same;
vas-tu;are you;
soleil;Sun;
camp;camp;
fallait;needed;
coin;corner;
ignore;unknown;
moitié;half;
you;you;
selon;according to;
tenir;hold;
grosse;big;
vouloir;want to;
michael;michael;
vieille;old;
devenu;become;
continuer;Carry on;
rend;makes;
sortie;exit;
recherche;research;
arrière;back;
lire;read;
doucement;slowly;
joli;pretty;
avance;advanced;
exact;exact;
disait;said;
club;club;
arrivée;arrival;
tue;kill;
laquelle;which;
poser;to pose;
chaud;hot;
aimé;love;
david;david;
fais-tu;do you;
tom;tom;
professeur;professor;
quitter;to leave;
loi;law;
tueur;killer;
donne-moi;give me;
flics;cops;
connaître;know;
lettre;letter;
forme;form;
connaît;knows;
conseil;advice;
bar;bar;
normal;normal;
danger;danger;
dangereux;dangerous;
folle;crazy woman;
jure;sworn;
tiré;drawn;
essaye;try;
bonnes;good;
offre;offer;
but;goal;
froid;cold;
allez-vous;will you;
prêts;loans;
tranquille;quiet;
gamin;kid;
joe;joe;
classe;class;
joué;play;
poste;post;
con;cunt;
mike;mike;
attaque;attack;
boîte;box;
enquête;investigation;
visite;visit;
juge;judge;
moi-même;myself;
bord;edge;
debout;standing;
envoie;send;
preuve;proof;
oublier;forget;
bons;good;
vivant;living;
ciel;sky;
lu;read;
touche;touch;
aimer;like;
faites-vous;are you;
télé;TV;
met;puts;
écouter;listen;
serez;will;
ll;It;
pourtant;However;
change;exchange;
triste;sad;
droite;right;
gueule;mouth;
tombe;grave;
sentir;feel;
ouvrir;to open;
travers;through;
santé;health;
dossier;folder;
ie;ie;
jeunes;youth;
frank;frank;
coucher;sleep;
cuisine;cooked;
monte;mounted;
pouvez-vous;can you;
